review_body,review_date,rating
"Our weekend at the Hyatt to celebrate our wedding anniversary was filled with surprises. The hotel upgraded our room, gave us a pass to the VIP Lounge and a couple of complimentary drinks to mark our special occasion. The staff was friendly, knowledgeable, professional, courteous and gracious. Couldn't ask for a better way to make this an anniversary to remember.",20-Nov-18,5
"We stayed here 4 nights the standards met were higher than expected. The location was fantastic - couldnâ€™t get much closer to Union Square. Our rooms were spotless, very roomy and bed was extremely comfortable. View from window in15th floor was fab. We were allocated interconnecting rooms as we had requested and both rooms were lovely. I used the hotel gym which had an amazing view from 34th floor. The hotel staff were very attentive, friendly and made us feel very welcome. We would definitely recommend this hotel and would stay here again the next time we visit SF.",20-Sep-18,5
"The Hyatt is very central and convenient to walk to most places in the city which is a huge plus. However it wasnâ€™t the best stay Iâ€™ve experienced by far. The room that I was first allocated had 2 double beds (for just 1 person), was cramped and you can hear the street noise. This was particularly evident because of the current protests happening at several hotels in the area, it is very loud and disturbing so be aware that this is going on all day and night until about 10pm. Ask for a room on the Stockton st side. Itâ€™s a shame that the receptionist didnâ€™t mention anything about this when I checked in. I asked to be transferred to another room on the 2nd day, and it was rejected because they were booked up. On the 3rd day I asked again and the gentleman on reception transferred me straight away and was extremely helpful, even when I went back to check the room for my passport. Overall the king suite was very nice, the bed comfortable and the amenities all great. However there was a very bad smell coming from the drain in the bathroom that you could smell as soon as you walk in the door, luckily I spent most of the day away from the hotel, but it was very unpleasant. The room service food was pretty bland/average as well so Iâ€™d recommend going to a restaurant in the city or nearby as there are much better options available. ",19-Nov-18,3
"This hotel is in a great location. The hotel rooms seem very dated and the bathrooms have no counter space to get ready because the sink is too big. The showers have a hand sprayer instead of a big shower head making the shower just ok. There is a strike at the Marriott across the street making it very loud at times from 6am-10pm. The Hyatt tried their best to accommodate this. Overall, the hotel was ok because could use some improvements. ",18-Nov-18,3
"The location doesn't get much better than where the Hyatt is, next to union square, close to restaurants, shop and anything your heart can desire.The room was as you would expect of a luxury hotel: spacious, clean, large tv, good shower, electronic blinds and a spacious closet. I was up to the 7th floor and didn't hear many street noises, only in the background.Upon checkout, it appeared there was a mistake in my booking and they had expected me a day sooner (one night more). The staff was so kind to arrange things for me to get that night off the bill after I showed my paperwork. The only comment is about the breakfast. No complaints about the quality but it was incredibly expensive. A breakfast buffet is 34USD without tax and without tip. It came as a surprise to me and with a total cost of a whopping 43USD, the most expensive breakfast I have ever had anywhere in the world. Not worth it.All in all, I would stay here again...and get breakfast somewhere else.",15-Nov-18,4
"Dirty hallways, loud rooms, terrible restaurant food, over priced wine, treadmill didnâ€™t work in the health club. Not worth the money. Lots of other great hotels around. I will stay somewhere else next time",15-Nov-18,1
"Right by Union Square, can walk everywhere or take the trolley right from around the corner. Lots of food options. Hotel is nice and service is great. Don't do valet parking, not worth it since self parking is just across the street.",13-Nov-18,5
"Brand you can trust to deliver a superior experience. Great location with access to business centers, shopping, and fine restaurants. Staff went well above my expectations. With so many choices in San Francisco, I plan to look here first.",13-Nov-18,5
"We stayed in room 2124, an executive suite. The room was nice with a separate bedroom, electronic blinds and two bathrooms. Clean. Two robes and two sets of slippers. The tv in the living room wasnâ€™t working and they replaced it within the hour. The service is what youâ€™d expect from a premium Hyatt property. But I asked for a quiet room and this one is directly next to the elevator shaft. Not quiet. Also the room faces west and the Marriott hotel which currently has the most obnoxious protestors banging drums and screaming into megaphones from 7am till 9 or 10pm. Thankfully we sleep with a white noise machine regularly so between ear plugs and two phones blaring ambient sound we were almost able to drown out the constant audible assault. I have never been so happy to check out of a hotel. Sorry Grand Hyatt SFO but we wonâ€™t be back.",13-Nov-18,3
"Typical Hyatt and nothing wrong with it. We got our rooms on time though the check-in process was a bit slow. We had a very noisy room the first night and heard all the elevator movement. After we told them in the morning, we got moved during the day and they took care of everything while we were touring the city. Very good handling and customer service.Hint: order a quite room upfrontThe location is great for everybody who likes to discover a city on foot. You can walk everywhere from China Town, downtown, the cable car stations and even all the way to the Golden Gate bridge.",13-Nov-18,4
"The location is great, I stayed here for a conference and was able to get to all the local bars and nightlife no problem :) It's downtown SF, so it's crowded, noisy and you'll need to watch where you step, but this hotel is in the center of it all! Food and drinks in the hotel restaurants were notably bad, seriously, not even basic drinks were right, so you'll need to get out in the neighborhood, but you didn't come to SF to eat at a Hyatt anyways. Rooms v average, look like every other Hyatt, staff exceedingly experienced, professional and available to help with every detail. Valet and motor lobby well managed considering the challenge created by their location. ",11-Nov-18,4
Booked here with work and I know I can expect the same level of experience with Grand Hyatt no matter where I go. Check in was smooth and the room was great. Complimentary late check out and everything was lovely,9-Nov-18,5
"Room was very clean and people very kind, we did not use ac system because was very noise, really we did not need. The most important thing is that room was very clean. We request to change towels daily and they did. Bed was very clean also",9-Nov-18,5
"we stayed a total of 6 nights over two periods during our trip. We were only informed of some benefits when checking in second time example bottled water can be provided, high speed wifi access and phone calls including international calls can be made at no extra charge. please note also there is a potential problem in design flaw in your room table. there is a gap adjoining the wall and table which a piece of paper or small items such as earring can drop through which cannot be retrieved as the table is fixed and dropped items cannot be picked up from floor or side of table. A piece of paper fell in but unfortunately i could not take it out.guests staying there should be aware.",8-Nov-18,4
Staff was very professional! Concierge service was friendly and exceptional! There was a little bit of a noise which the Hyatt couldnâ€™t control as it was due to protestors at The Marriott! The quality of service was great! Really made the stay so much nicer and I would definitely stay at the Hyatt again! ,8-Nov-18,5
"We had a Bay view from our Room and that definitely was the highlight of our stay. The room was listed at 312 sq. ft., however it did not seem that large. We had the Sunday Brunch and were terribly disappointed. The price was $34.95 per person but the quality and variety of the food was very disappointing, we do not recommend eating at the hotel. ",8-Nov-18,3
Great location and very nice hotel for SF weekend. Friendly staff and clean hotel. Some other hotels had union strikers in front banging out catchy tunes beating on 5 gallon water jugs. Glad we were not affected at the Hyatt. The Grand Club option was very nice and would definitely do that again on my next visit. ,7-Nov-18,5
"We have stayed here three other times and prefer this hotel to many others in the SF area. The location is great (right above Union Square) where you are in the heart of Downtown SF as soon as you walk out of the hotel. Our first experience was great because we drove up to SF from the LA area. We were tired from a long drive and arrived earlier than our check in time. They noticed that and welcomed us and upgraded us for free to the King Club Access room without us asking for it. The Club Access rooms are only on floors 30-35 (highest five floors) and give access to the Club Lounge where you can have free drinks, water, appetizers, and a 360 view of SF. The rooms are modern and clean and the beds are helpful after touring SF. Check in was easy through their app, and you can also request room service from their app as well. Valet is right across the street in a garage for about $40/night. We chose to self park for $30/night. I've never experience too much city noise at the high floors. Staff has always been friendly and easy to work with and we are planning to stay there for a fourth time at the end of this year. Great location as you have Starbucks right across the street, and access to the trolley on Powell which is the next street over. Not that far of a drive to almost anywhere in SF.",6-Nov-18,5
